solar_size,prod_cost_wt,hour,demand_kWh,dual,marginal_plant,marginal_type,technology_cost,emissions,flat_unit,flat_unit_eff
0,0.9,20,5158241.72,14.248929941233282,TETO NS,thermal-gas,485841414.6440354,74790981.00726643,TENT B1,4.767350663626085
0,0.9,21,4967502.879,1.650358004525879,Vrla 4,hydro,485841414.6440354,74790981.00726643,TENT B1,4.767350663626085
0,0.9,22,4793350.023,1.6084310776514874,HEDJ 1,hydro,485841414.6440354,74790981.00726643,TENT B1,4.767350663626085
0,0.9,23,4635783.154,1.6084310776514874,HEDJ 1,hydro,485841414.6440354,74790981.00726643,TENT B1,4.767350663626085
0,0.95,0,4619197.168,1.696089552098905,HEDJ 1,hydro,485833975.91357136,74883464.93562387,TENT B1,4.978472823148367
0,0.95,1,4461630.298,1.696089552098905,HEDJ 1,hydro,485833975.91357136,74883464.93562387,TENT B1,4.978472823148367
0,0.95,2,4469923.292,1.696089552098905,HEDJ 1,hydro,485833975.91357136,74883464.93562387,TENT B1,4.978472823148367
0,0.95,3,4386993.36,1.696089552098905,HEDJ 1,hydro,485833975.91357136,74883464.93562387,TENT B1,4.978472823148367
0,0.95,4,4254305.47,1.6945086726516632,Zvornik,hydro,485833975.91357136,74883464.93562387,TENT B1,4.978472823148367
0,0.95,5,4204547.512,1.6534319130107784,HEDJ 2,hydro,485833975.91357136,74883464.93562387,TENT B1,4.978472823148367
0,0.95,6,4672900.0,1.696089552098905,HEDJ 1,hydro,485833975.91357136,74883464.93562387,TENT B1,4.978472823148367
0,0.95,7,5038100.0,1.779245881433562,Vrla 1,hydro,485833975.91357136,74883464.93562387,TENT B1,4.978472823148367
0,0.95,8,5071300.0,15.004783861518998,TETO NS,thermal-gas,485833975.91357136,74883464.93562387,TENT B1,4.978472823148367
0,0.95,9,5046400.0,7.405247189519125,mixed,mixed,485833975.91357136,74883464.93562387,TENT B1,4.978472823148367
0,0.95,10,5046400.0,7.909528561344618,Solarna Elektrana,solar,485833975.91357136,74883464.93562387,TENT B1,4.978472823148367
0,0.95,11,5029800.0,1.779245881433562,Vrla 1,hydro,485833975.91357136,74883464.93562387,TENT B1,4.978472823148367
0,0.95,12,4980000.0,1.7403014699182906,Vrla 4,hydro,485833975.91357136,74883464.93562387,TENT B1,4.978472823148367
0,0.95,13,4963400.0,1.7250584027923797,HE Pirot,hydro,485833975.91357136,74883464.93562387,TENT B1,4.978472823148367
0,0.95,14,4921900.0,1.7250584027923797,HE Pirot,hydro,485833975.91357136,74883464.93562387,TENT B1,4.978472823148367
0,0.95,15,4921900.0,1.7250584027923797,HE Pirot,hydro,485833975.91357136,74883464.93562387,TENT B1,4.978472823148367
0,0.95,16,4921900.0,1.7250584027923797,HE Pirot,hydro,485833975.91357136,74883464.93562387,TENT B1,4.978472823148367
